sim_id,npv_merchant_eur,npv_pay_as_produced_eur,npv_baseload_eur
180,17809782.92,23250200.55,18451053.39
181,16244130.24,22974811.82,19312893.95
182,18029388.85,23345079.38,19074104.02
183,20013155.74,23766352.72,19362022.72
184,23321898.08,22461310.78,15298803.24
185,22505883.25,23741241.29,17725843.78
186,19390246.16,23115393.82,18258607.99
187,22327900.23,23772933.05,18711984.33
188,19577480.05,23503298.28,19530425.86
189,22007179.36,22785990.26,17385404.93
190,22719712.18,23078438.37,17678209.38
191,22158422.77,22496251.2,15919441.22
192,19217465.2,23077064.63,18233740.41
193,17124001.44,23271601.01,19782882.56
194,21589649.58,23512842.29,17317260.45
195,19170573.97,23211332.16,17972080.1
196,14512296.48,22879975.84,19118954.9
197,11470503.87,23734681.63,21642057.05
198,21507936.25,23355423.3,18265915.54
199,16390718.14,23218780.52,20372087.67
200,23159319.07,24011951.5,18079669.28
201,16409726.71,23742774.23,20598351.76
202,20841902.72,24304260.28,19210634.08
203,20767711.11,23484506.77,19601194.4
204,17445642.9,23409041.61,19926441.13
205,21009245.09,22825891.34,18598960.78
206,17810266.64,23485927.3,19369894.77
207,23075042.66,22459546.1,17413376.14
208,20437114.69,22867659.99,17786495.17
209,22625400.48,23436877.8,17701308.27
210,20492150.56,23121405.15,18279670.73
211,20561357.93,24194279.1,18975461.07
212,18894758.04,23978178.26,18372361.79
213,23743313.78,23726175.6,18714164.77
214,15641095.5,23317146.4,19314523.17
215,15368838.2,23351303.19,19086487.39
216,16631768.41,22439520.11,18692880.15
217,22393313.89,23847339.07,17736197.12
218,23651853.0,22899014.94,17270600.18
219,19096506.93,23762810.95,18620816.91
220,14930287.62,24213090.83,20922789.98
221,16663339.46,23493911.01,20378066.78
222,18186721.03,23185588.28,18493367.55
223,17132701.13,23215278.75,18995380.26
224,19968499.75,23315632.18,19389749.18
225,19852865.31,23015275.09,17649192.85
226,23010280.66,22957409.34,17112328.31
227,23576335.6,23138350.61,16988813.75
228,12774824.86,23770722.75,20337047.23
229,19947429.25,23937793.73,19903075.29
230,17582023.94,23176532.84,18118906.59
231,16614766.75,23880553.81,19816547.76
232,21300444.64,23256491.5,17778051.87
233,24221417.5,23479594.67,16706771.66
234,26333250.06,23636448.23,18226681.86
235,21407791.51,23033872.5,15809662.09
236,22524344.63,24014914.22,18662213.62
237,17174891.5,23037737.97,19157300.03
238,18371533.21,23627462.26,19770525.78
239,10708603.46,23723580.41,22167267.33
240,21447416.91,23612711.68,17552432.16
241,18262894.04,24034977.48,19793848.8
242,16411370.84,23905805.46,20846948.06
243,25834997.82,23614627.24,16650569.28
244,10866243.79,22757180.18,21370335.1
245,24668575.05,23034473.58,18001553.27
246,23918447.34,23347813.4,17944327.86
247,19116366.23,23477719.31,19816856.16
248,20277076.75,22586964.6,17687951.31
249,22292075.49,23688954.64,17938582.02
250,18704181.49,23702990.99,19157466.74
251,20189201.88,23274361.36,18913976.87
252,22830151.67,23175559.29,17174259.0
253,16142853.84,23565399.12,19068381.52
254,15460151.7,23245457.06,19626775.38
255,21102906.98,22710052.23,17044438.5
256,20638136.62,23475737.6,18557365.78
257,24097572.05,23582781.82,17990174.49
258,18769651.26,24146736.51,19669411.37
259,25161082.03,24201700.5,17211115.67
260,21835709.64,23153846.23,18586600.27
261,18610509.7,23285842.3,19370398.37
262,20164263.01,23709550.72,18382088.75
263,25521584.78,23438713.83,17626366.1
264,19810925.32,22982217.08,17378071.36
265,22684660.13,23724639.56,17730550.15
266,16199431.87,23672045.38,21147410.28
267,27214097.52,23286699.61,16913127.87
268,17044249.36,23520135.72,19388261.39
269,19366719.25,23024191.02,17689569.94
270,21976949.68,23267287.85,17701375.85
271,11798147.34,23072764.68,20862281.57
272,19328674.25,23266938.51,18224198.53
273,23694080.63,23983801.88,17700617.64
274,19820014.83,23790753.22,18837383.83
275,18762481.08,23374489.46,19896971.47
276,18794374.18,23225560.84,18558335.98
277,17173795.96,24072205.58,20853120.89
278,21274315.71,23171307.07,18843644.66
279,20852450.86,24181425.27,18592602.87
280,13952945.62,23731885.06,21306415.86
281,21137506.71,23087092.81,17511640.59
282,18877705.9,23787259.91,18981345.69
283,18583185.86,23116446.56,18851567.79
284,23953936.8,22954526.43,17242811.86
285,18619319.1,23413179.96,19403940.41
286,20148012.07,23449895.31,18628674.5
287,22809122.58,22783387.79,16404253.94
288,19137351.43,23774462.99,19653025.33
289,17674803.9,24121770.93,19964158.0
290,22361359.17,24062487.95,19243528.17
291,22846840.31,23868662.41,18719330.53
292,14736643.36,24163324.44,21074741.85
293,22781952.17,23467293.06,17822631.45
294,16882861.47,23286998.0,19474771.26
295,18452440.06,23063920.27,19299332.91
296,17651534.84,22753409.49,17640625.81
297,16722491.4,23730380.7,20020493.7
298,20866413.06,22784110.86,17402311.87
299,23057629.39,23285885.04,17191098.27
300,24292951.65,23506390.01,17311336.01
301,17646467.47,23055405.98,19611601.21
302,16681815.62,23756852.79,20308773.41
303,19884795.59,23856469.4,19117405.73
304,23321785.33,23786518.1,18826285.8
305,17971005.09,23791057.4,19581536.23
306,24088284.33,23519957.71,17313448.6
307,16444320.72,23482361.73,19776603.79
308,18859198.84,23279906.46,17685373.94
309,18982975.12,23230308.61,18278359.13
310,20151507.62,22744896.45,18313139.26
311,19684701.65,23148610.31,19420652.23
312,25212454.77,23537366.72,16656726.27
313,20213943.4,23226856.45,19092647.39
314,20290108.67,23473675.34,19049125.6
315,20313844.87,23027195.99,17770947.9
316,19708033.74,23289886.45,19072352.76
317,21546131.27,23183079.64,18296989.41
318,19543518.87,23450314.75,18512130.96
319,20268466.35,23439701.34,19004510.52
320,10969844.93,23143121.05,22029514.72
321,14724124.49,23698263.11,20752154.45
322,22143809.94,23425322.52,18517268.38
323,19144502.39,23443528.01,18696588.24
324,18833606.67,23943798.69,19839143.98
325,20146511.57,23603004.41,17562150.22
326,19669212.68,22874066.77,17651661.72
327,20553915.35,23023020.79,17547698.65
328,20097074.83,23125473.38,17596954.91
329,19646138.32,22960517.76,18538265.41
330,23320105.03,23340415.84,16578629.22
331,23631103.26,23286812.81,18639757.44
332,17152672.57,23569036.21,19948937.93
333,15996867.05,23652722.9,20596289.72
334,18166961.62,23925703.49,19966452.82
335,23135308.01,23558770.84,18793027.6
336,14913033.09,23167210.8,20060931.25
337,22360187.63,23723086.49,16843945.41
338,17491380.73,22519699.26,19118236.91
339,16485533.11,22953025.56,19424947.13
340,27232849.85,23473949.11,16922578.21
341,21730718.38,23194737.38,17177030.32
342,21297951.11,23167914.86,17065062.9
343,22907876.12,23418517.84,18662210.37
344,16430339.23,23732350.76,20413318.12
345,21666916.93,23507222.77,17800225.35
346,19137463.69,23503795.8,18215160.39
347,22122146.81,23963705.22,18075259.57
348,22233597.22,22913878.03,17592994.62
349,19284343.64,23219007.15,18993512.37
350,17130704.08,23242459.91,20098637.13
351,20070912.02,23793278.26,18687658.18
352,23038027.83,22887285.54,14164854.1
353,21934882.09,22513849.05,16554611.67
354,21022278.61,23186324.43,18824757.89
355,22484166.75,23541358.04,18268873.49
356,18360099.79,24077748.42,19161934.66
357,17977473.72,23912892.3,18832410.9
358,16463233.93,22542990.66,19257774.52
359,19847912.27,23196179.47,18731349.85
360,21470408.97,23550112.85,19702930.39
361,18259608.94,23076984.95,19089743.95
362,18817361.72,22979657.82,19070928.31
363,18665240.24,23774600.6,19892003.91
364,14957553.46,23313063.32,19845718.48
365,17166298.34,23579923.89,19769068.44
366,16623316.89,23514880.88,20328053.31
367,21019917.61,23427426.46,18462253.9
368,21851355.82,22763554.83,16961549.67
369,23521566.22,23243751.89,16917018.77
370,18521083.3,23399537.99,19133075.73
371,20911458.31,23094094.36,17825202.63
372,16069188.44,23425155.05,19978761.06
373,22210317.4,22840458.42,18590536.13
374,17727622.01,23715158.87,20764062.6
375,21046001.51,22818823.48,17941872.69
376,20482327.41,23744328.42,18940283.79
377,21869645.24,22613031.17,16695212.6
378,18759685.89,23580689.89,19814641.03
379,22317966.14,23937246.31,18499385.22
380,16674750.05,22898028.21,18754568.75
381,18074401.48,22696151.02,18680646.12
382,19472792.38,22698117.84,17232286.5
383,18048519.47,23002461.7,19904137.45
384,22287287.59,23558477.71,19432158.75
385,20947979.11,23497817.9,17957196.05
386,21534714.58,23639052.55,18484429.14
387,20585231.18,23245414.37,17664578.7
388,22221757.53,24174130.5,20226801.35
389,19530072.88,23367661.85,19813659.87
390,20710031.6,22338652.14,16856962.39
391,22034319.3,23337331.42,19272013.74
392,19825011.86,23161834.0,18869490.46
393,17611329.33,23427210.37,18854035.11
394,14787673.3,24104165.41,21496300.59
395,22304631.26,23393864.09,16239057.64
396,20349257.34,22765458.73,18468139.93
397,16273896.77,23720836.69,20333499.4
398,20629215.6,23798166.74,18682517.77
399,19696508.91,22646127.03,18498339.36
400,19950302.9,22966285.12,16781194.6
401,21791709.84,23373821.57,17369802.6
402,20797433.31,23708200.77,18455501.53
403,22962838.3,23453701.38,17717062.68
404,21100446.29,23769784.95,17942723.1
405,19448587.8,23573277.48,20322541.45
406,15797871.96,23708086.53,19773854.82
407,19992471.87,23808057.41,19254796.03
408,21477921.45,23085165.4,17490222.53
409,20709407.62,23365409.59,19581196.69
410,15401260.51,23464032.93,20845107.87
411,24436816.64,23552282.09,17391772.09
412,18483169.58,23046256.71,17778723.64
413,23133722.61,22878407.79,17263866.08
414,22187031.85,23276508.87,18683888.29
415,16271482.91,22936616.51,19925452.94
416,19711212.78,23531426.46,19182174.55
417,19737123.74,23349566.11,18534348.42
418,20092954.97,23571331.08,18696019.0
419,16571904.41,22889532.69,18811407.04
420,17930123.0,23211793.81,19814137.24
421,20795626.95,23192940.89,19426113.88
422,22828196.75,24024771.46,19701225.7
423,17800348.28,22719573.9,19146195.53
424,22462617.64,23245005.14,17404893.04
425,20358875.29,23302351.19,18605815.9
426,18889139.03,23571023.75,18955720.96
427,20673582.28,24157997.5,18314969.21
428,24358420.54,22999836.24,16947818.56
429,17158317.07,23295577.3,19727750.3
430,16868240.04,23175891.08,19155868.73
